time,open,high,low,close,volume,tick_volume,spread
2024-01-02T01:00:00+00:00,37719.38,37726.88,37706.88,37712.88,508,137,0
2024-01-02T02:00:00+00:00,37713.88,37732.88,37693.38,37702.88,1386,137,0
2024-01-02T03:00:00+00:00,37703.38,37713.38,37700.88,37711.38,732,137,0
2024-01-02T04:00:00+00:00,37711.88,37720.38,37708.38,37717.88,497,137,0
2024-01-02T05:00:00+00:00,37717.38,37737.38,37714.88,37732.88,416,137,0
2024-01-02T06:00:00+00:00,37733.38,37752.88,37732.88,37739.38,741,137,0
2024-01-02T07:00:00+00:00,37739.88,37741.88,37724.38,37730.88,891,137,0
2024-01-02T08:00:00+00:00,37731.38,37758.88,37729.38,37744.88,1590,137,0
2024-01-02T09:00:00+00:00,37745.38,37813.88,37745.38,37809.88,4982,137,0
2024-01-02T10:00:00+00:00,37810.38,37810.88,37702.88,37711.38,4398,137,0
2024-01-02T11:00:00+00:00,37710.88,37715.38,37668.88,37685.38,3684,137,0
2024-01-02T12:00:00+00:00,37686.38,37686.88,37514.38,37551.38,6730,137,0
2024-01-02T13:00:00+00:00,37551.88,37552.38,37467.38,37475.38,5030,137,0
2024-01-02T14:00:00+00:00,37474.88,37518.88,37465.38,37482.38,5195,137,0
2024-01-02T15:00:00+00:00,37482.88,37660.89,37459.88,37659.89,25036,135,0
2024-01-02T16:00:00+00:00,37660.39,37720.88,37627.0,37696.28,25968,135,0
2024-01-02T17:00:00+00:00,37695.3,37750.55,37663.28,37742.69,15557,135,0
2024-01-02T18:00:00+00:00,37743.18,37791.96,37732.26,37763.88,13472,135,0
2024-01-02T19:00:00+00:00,37763.89,37764.88,37689.79,37701.99,12486,135,0
2024-01-02T20:00:00+00:00,37702.49,37708.03,37605.08,37605.59,12829,135,0
2024-01-02T21:00:00+00:00,37606.59,37727.51,37583.42,37724.46,18542,135,0
2024-01-02T22:00:00+00:00,37723.47,37732.02,37707.18,37726.13,2767,135,0
2024-01-03T01:00:00+00:00,37729.61,37731.58,37708.6,37714.56,1220,137,0
2024-01-03T02:00:00+00:00,37715.06,37719.51,37706.74,37710.38,2033,137,0
2024-01-03T03:00:00+00:00,37709.89,37714.35,37700.62,37705.22,1436,137,0
2024-01-03T04:00:00+00:00,37704.72,37711.67,37695.6,37695.6,1377,137,0
2024-01-03T05:00:00+00:00,37695.11,37701.58,37689.89,37692.41,713,137,0
2024-01-03T06:00:00+00:00,37692.91,37693.9,37679.68,37687.25,1185,137,0
2024-01-03T07:00:00+00:00,37686.26,37699.35,37684.53,37695.44,1214,137,0
2024-01-03T08:00:00+00:00,37693.44,37707.06,37679.2,37694.72,2607,137,0
2024-01-03T09:00:00+00:00,37695.21,37726.91,37687.44,37698.44,7124,137,0
2024-01-03T10:00:00+00:00,37698.93,37702.9,37655.59,37659.69,5435,137,0
2024-01-03T11:00:00+00:00,37659.19,37667.83,37631.65,37649.58,4861,137,0
2024-01-03T12:00:00+00:00,37650.57,37660.0,37604.36,37619.2,4428,137,0
2024-01-03T13:00:00+00:00,37619.69,37621.25,37580.86,37598.72,5152,137,0
2024-01-03T14:00:00+00:00,37598.22,37634.9,37582.18,37585.64,4900,137,0
2024-01-03T15:00:00+00:00,37585.15,37620.36,37510.82,37532.46,21930,135,0
2024-01-03T16:00:00+00:00,37529.48,37586.18,37403.66,37445.07,25732,135,0
2024-01-03T17:00:00+00:00,37444.57,37493.35,37437.5,37469.69,18016,135,0
2024-01-03T18:00:00+00:00,37470.18,37556.22,37442.49,37551.73,10912,135,0
2024-01-03T19:00:00+00:00,37550.75,37588.47,37536.01,37539.33,10397,135,0
2024-01-03T20:00:00+00:00,37539.31,37613.41,37464.26,37556.37,31681,135,0
2024-01-03T21:00:00+00:00,37556.86,37556.86,37396.71,37432.1,19763,135,0
2024-01-03T22:00:00+00:00,37431.6,37447.52,37412.8,37442.61,2783,135,0
2024-01-04T01:00:00+00:00,37448.68,37467.25,37429.95,37464.8,1848,137,0
2024-01-04T02:00:00+00:00,37465.29,37472.45,37453.49,37466.05,2055,137,0
2024-01-04T03:00:00+00:00,37466.54,37470.01,37446.39,37465.37,1536,137,0
2024-01-04T04:00:00+00:00,37465.86,37475.79,37453.24,37456.74,1400,137,0
2024-01-04T05:00:00+00:00,37457.23,37469.23,37455.05,37455.54,855,137,0
2024-01-04T06:00:00+00:00,37456.04,37458.02,37435.95,37440.96,1239,137,0
2024-01-04T07:00:00+00:00,37441.45,37474.88,37440.96,37472.88,1456,137,0
2024-01-04T08:00:00+00:00,37473.38,37488.38,37462.88,37469.88,2250,137,0
2024-01-04T09:00:00+00:00,37470.38,37513.88,37465.38,37477.38,6552,137,0
2024-01-04T10:00:00+00:00,37476.88,37485.88,37450.38,37482.38,4953,137,0
