time,open,high,low,close,volume,tick_volume,spread
2009-05-27T03:00:00+00:00,8449.0,8501.5,8256.0,8274.5,31651,0,0
2009-05-28T03:00:00+00:00,8274.0,8421.5,8229.0,8378.5,28051,0,0
2009-05-29T03:00:00+00:00,8379.0,8449.5,8351.0,8370.0,18801,0,0
2009-05-31T03:00:00+00:00,8500.0,8506.0,8479.0,8480.5,3451,0,0
2009-06-01T03:00:00+00:00,8480.0,8741.5,8469.5,8687.0,33701,0,0
2009-06-02T03:00:00+00:00,8686.5,8770.5,8644.5,8699.0,23951,0,0
2009-06-03T03:00:00+00:00,8699.5,8747.5,8581.5,8647.5,28001,0,0
2009-06-04T03:00:00+00:00,8648.5,8742.5,8624.5,8732.0,15251,0,0
2009-06-05T03:00:00+00:00,8733.0,8865.0,8690.0,8757.5,32551,0,0
2009-06-07T03:00:00+00:00,8719.0,8736.0,8719.0,8727.5,2551,0,0
2009-06-08T03:00:00+00:00,8728.0,8811.5,8625.5,8765.0,33501,0,0
2009-06-09T03:00:00+00:00,8765.5,8799.5,8715.0,8730.0,13351,0,0
2009-06-10T03:00:00+00:00,8731.0,8860.0,8635.5,8755.5,42451,0,0
2009-06-11T03:00:00+00:00,8755.0,8877.5,8726.0,8751.5,29951,0,0
2009-06-12T03:00:00+00:00,8752.0,8806.5,8700.5,8789.0,17501,0,0
2009-06-14T03:00:00+00:00,8699.0,8708.5,8697.0,8704.0,1801,0,0
2009-06-15T03:00:00+00:00,8705.5,8706.0,8518.5,8560.0,22951,0,0
2009-06-16T03:00:00+00:00,8561.0,8600.0,8438.0,8447.0,21001,0,0
2009-06-17T03:00:00+00:00,8447.5,8505.5,8404.5,8469.5,18001,0,0
2009-06-18T03:00:00+00:00,8469.0,8536.5,8417.0,8507.5,20051,0,0
2009-06-19T03:00:00+00:00,8507.0,8562.5,8436.0,8473.0,21901,0,0
2009-06-21T03:00:00+00:00,8477.5,8477.5,8465.5,8468.0,1451,0,0
2009-06-22T03:00:00+00:00,8468.5,8505.0,8273.0,8291.0,28651,0,0
2009-06-23T03:00:00+00:00,8291.5,8322.5,8225.5,8260.5,16301,0,0
2009-06-24T03:00:00+00:00,8261.0,8368.5,8199.0,8250.0,32801,0,0
2009-06-25T03:00:00+00:00,8249.5,8429.5,8194.0,8398.0,32251,0,0
2009-06-26T03:00:00+00:00,8397.5,8428.0,8340.5,8371.0,14851,0,0
2009-06-28T03:00:00+00:00,8350.5,8361.0,8346.5,8353.0,2651,0,0
2009-06-29T03:00:00+00:00,8353.5,8474.0,8317.5,8455.5,21101,0,0
2009-06-30T03:00:00+00:00,8454.5,8500.5,8333.0,8388.5,26901,0,0
2009-07-01T03:00:00+00:00,8389.0,8524.5,8379.0,8443.0,23701,0,0
2009-07-02T03:00:00+00:00,8442.5,8444.0,8203.0,8230.0,26951,0,0
2009-07-03T03:00:00+00:00,8231.0,8266.5,8227.5,8239.0,7001,0,0
2009-07-05T03:00:00+00:00,8204.5,8210.5,8199.5,8202.0,1951,0,0
2009-07-06T03:00:00+00:00,8201.5,8280.5,8142.5,8267.0,21051,0,0
2009-07-07T03:00:00+00:00,8266.5,8292.5,8088.5,8112.5,25401,0,0
2009-07-08T03:00:00+00:00,8114.5,8163.5,8034.0,8129.5,24401,0,0
2009-07-09T03:00:00+00:00,8129.0,8186.0,8090.5,8125.5,18751,0,0
2009-07-10T03:00:00+00:00,8126.0,8131.5,8039.0,8085.5,14451,0,0
2009-07-12T03:00:00+00:00,8104.5,8107.0,8094.0,8101.5,2301,0,0
2009-07-13T03:00:00+00:00,8101.0,8278.5,8015.5,8255.0,37201,0,0
2009-07-14T03:00:00+00:00,8254.5,8382.5,8235.5,8360.0,18851,0,0
2009-07-15T03:00:00+00:00,8359.5,8573.5,8349.0,8523.0,28551,0,0
2009-07-16T03:00:00+00:00,8523.5,8687.5,8499.5,8647.5,25201,0,0
2009-07-17T03:00:00+00:00,8647.0,8705.5,8607.5,8697.0,14601,0,0
2009-07-19T03:00:00+00:00,8679.0,8679.5,8664.5,8674.0,2501,0,0
2009-07-20T03:00:00+00:00,8674.5,8806.0,8672.0,8780.0,16251,0,0
2009-07-21T03:00:00+00:00,8780.5,8894.0,8760.5,8864.0,18351,0,0
2009-07-22T03:00:00+00:00,8864.5,8903.5,8806.5,8829.5,15901,0,0
2009-07-23T03:00:00+00:00,8830.0,9053.0,8825.5,8960.0,32501,0,0
2009-07-24T03:00:00+00:00,8960.5,9060.5,8951.0,9060.0,11951,0,0
2009-07-26T03:00:00+00:00,9031.5,9032.5,9026.5,9031.0,1151,0,0
2009-07-27T03:00:00+00:00,9032.0,9110.5,8989.0,9051.0,22401,0,0
2009-07-28T03:00:00+00:00,9050.5,9085.0,8961.0,9020.0,21751,0,0
2009-07-29T03:00:00+00:00,9020.5,9061.5,8953.0,9044.0,19351,0,0
2009-07-30T03:00:00+00:00,9043.5,9201.5,9034.5,9093.5,28401,0,0
2009-07-31T03:00:00+00:00,9093.0,9173.5,9068.5,9101.5,20151,0,0
2009-08-03T03:00:00+00:00,9116.0,9252.5,9108.0,9240.5,16451,0,0
2009-08-04T03:00:00+00:00,9241.0,9289.5,9179.5,9281.0,18001,0,0
2009-08-05T03:00:00+00:00,9281.5,9296.0,9162.5,9215.0,20051,0,0
